 -0.14408916, -0.20177147, 0.35232475;
 -0.22012787, -0.21916033, 0.40260568;
 -0.21932775, -0.19474219, 0.25164002;
 -0.01594908, -0.094531961, 0.090433434;
 -0.16010451, -0.21174726, 0.11243591;
 -0.023309948, -0.12117517, 0.00050473248;
 -0.02347693, -0.10690469, 0.092730723;
 -0.20459098, -0.19473137, 0.27162978;
 -0.045664258, -0.13587175, 0.10046417;
 -0.24473035, -0.19739893, 0.343777;
 -0.10327395, -0.1841002, 0.27943313;
 -0.21952574, -0.20502374, 0.35843271;
 0.016640801, 0.024508446, 0.074360654;
 -0.015217166, -0.093528755, 0.094408475;
 -0.21913084, -0.21531592, 0.39147046;
 0.074431725, 0.018460343, 0.2495247;
 -0.1188304, -0.19576472, 0.1020156;
 -0.0016878075, -0.039818753, -0.0053943489;
 -0.01016289, 0.071078539, 0.0047466271;
 0.012761942, -0.093908243, 0.27065149;
 0.019077554, -0.083109386, 0.26024619;
 -0.021423031, -0.12174365, 0.2526924;
 0.039104022, -0.068490833, 0.28008339;
 -0.063489772, -0.1647637, 0.057212505;
 -0.016489414, -0.14887039, -0.09697748;
 -0.014177715, -0.091530025, 0.096851073;
 -0.0074915877, 0.011033028, -0.031053102;
 0.056895636, -0.059710953, 0.30722007;
 -0.0060033263, -0.039849266, -0.057296447;
 -0.16520388, -0.19790888, 0.32238409;
 -0.0025106906, -0.066412196, 0.081761219;
 -0.10116678, -0.18438415, 0.32415685;
 0.0069795549, -0.037784752, 0.078054421;
 0.0091456873, -0.068926185, 0.18572806;
 -0.15951689, -0.19764647, 0.1671838;
 0.06314081, -0.31514409, -0.41526529;
 -0.12075387, -0.19491664, 0.34415391;
 -0.0004644435, -0.012176244, -0.0046316884;
 -0.038682554, -0.14776541, 0.30080855;
 -0.032892436, -0.13104062, 0.25353241;
 -0.037787408, -0.14616591, 0.29855403;
 -0.02862078, 0.082631789, -0.028952552;
 -0.014691336, -0.12622844, -0.072661579;
 0.018642327, -0.068874694, 0.22576211;
 -0.15972322, -0.20745738, 0.3646495;
 -0.085990287, -0.19886582, 0.38095942;
 0.045254268, 0.11719954, 0.14582552;
 0.0091319261, -0.093558319, 0.2587415;
 0.00059094944, -0.034612574, 0.01357031;
 -0.0058676731, -0.10941778, 0.25997683;
 -0.16022111, -0.19720136, 0.32090923;
 -0.15058021, -0.20540214, 0.36198881;
